date,centre,RMS_dx,RMS_dy,RMS_dz,RMS_3D,Mean_3D,Std_3D,N_points
2023-01-01,AIUB,0.006643861253669227,0.008160208547406966,0.013372915482977282,0.017016602610686864,0.012548771326463273,0.011493176349737623,76037
2023-01-01,IFG,0.006279150580024692,0.006640856311929422,0.011355040495690706,0.014576201467498096,0.012341020463424831,0.007756601262307046,76037
2023-01-01,TUD,0.006973109028986896,0.006554864164913529,0.011722189232730381,0.015132753026417457,0.012308524814205456,0.008803432913167184,76037
2023-01-01,cmaes,0.005446863320769497,0.005535727407102043,0.010176857025629468,0.012801602121648256,0.01029966084516832,0.007602499809634708,76037
2023-01-01,inversevariance,0.005713262891850024,0.005873619448710512,0.01064964309392931,0.013437100741147163,0.011181117304447296,0.007452401770699624,76037
2023-01-01,mean,0.005490233172105227,0.005548936438692114,0.010190127322674497,0.012836356599013892,0.010346209606395991,0.007597894281810376,76037
2023-01-01,neldermead,0.0054468517311851775,0.005535553903550343,0.010176730857046653,0.012801421863894352,0.010299900125125603,0.007601872081917055,76037
2023-01-01,residualweighted,0.0039384921910612485,0.0037517318563699,0.007705968466319642,0.00943234661497679,0.006604876779017591,0.006733852196110211,76037
2023-01-01,residualweightedneldermead,0.0054468517311851775,0.005535553903550343,0.010176730857046653,0.012801421863894352,0.010299900125125603,0.007601872081917055,76037
2023-01-01,vce,0.005734295831824413,0.006003184095948941,0.010692317692297894,0.013536839572431974,0.011324898259104148,0.007415706644056254,76037
2023-02-01,AIUB,0.05901166466397019,0.01971215668582428,0.015370774178352371,0.06408749009331899,0.016059424041533845,0.062042737575927966,78893
2023-02-01,IFG,0.006999494052598474,0.008029283883078067,0.0118508902035335,0.015934425477048916,0.013902465100517911,0.007786358546362163,78893
2023-02-01,TUD,0.006913551285366939,0.006876926849857566,0.011338874433686417,0.014955246159679175,0.012518463976179462,0.00818214197956109,78893
2023-02-01,cmaes,0.006317782259722988,0.0061253478606424034,0.009524943607203884,0.012967606171362608,0.010559260272140662,0.00752733899334642,78893
2023-02-01,inversevariance,0.00590187794996171,0.0066738366163837425,0.010654223308437091,0.013888294813420162,0.01196351309903634,0.007054012131663747,78893
2023-02-01,mean,0.006331742852948363,0.006127021031054616,0.009691808127029867,0.013098186860860206,0.01067501821196688,0.007589893623509247,78893
2023-02-01,neldermead,0.006317782259722988,0.006125237139159609,0.009524943607203884,0.012967553871591405,0.010558778668618814,0.00752792444434358,78893
2023-02-01,residualweighted,0.0036896158935176074,0.003944447832761326,0.0071992673437550544,0.009000076912667548,0.006501372352152882,0.006223627718026965,78893
2023-02-01,residualweightedneldermead,0.006317782259722988,0.006125237139159609,0.009524943607203884,0.012967553871591405,0.010558778668618814,0.00752792444434358,78893
2023-02-01,vce,0.005990254551431918,0.006788379676754519,0.010916560051198782,0.014182261158861599,0.012265056905039809,0.007120738072299078,78893
2023-03-01,AIUB,0.007102738052028912,0.008229990330305062,0.013035191759479578,0.01697344552172773,0.012444584658299444,0.011542537223742329,71069
2023-03-01,IFG,0.007690001059597256,0.008193310623581251,0.01320054045989019,0.01733553355695448,0.015392991353750883,0.007973489881328342,71069
2023-03-01,TUD,0.01007564005135242,0.008354343024556562,0.016523970015859323,0.021079733273962276,0.013144005896608456,0.016479995870488397,71069
2023-03-01,cmaes,0.005650877138175633,0.00587179540339804,0.01032440441542533,0.013153087858878495,0.010399294024547449,0.008053471550479871,71069
2023-03-01,inversevariance,0.00645481381675991,0.00664735148807057,0.01160893570916759,0.014853258616026844,0.012962599436474966,0.007251917495674819,71069
2023-03-01,mean,0.005654654914172764,0.0058843235740240404,0.010946205460503462,0.013653563641253134,0.01091212149889905,0.008206424586810911,71069
2023-03-01,neldermead,0.005651185396195063,0.005871449349681992,0.010324134277769615,0.013152853775263658,0.010402219785485391,0.008049309657847914,71069
2023-03-01,residualweighted,0.0038227105355915668,0.0038700224250963026,0.007372283040091113,0.009161918283464786,0.00649754968674517,0.006459302957840269,71069
2023-03-01,residualweightedneldermead,0.005651185396195063,0.005871449349681992,0.010324134277769615,0.013152853775263658,0.010402219785485391,0.008049309657847914,71069
2023-03-01,vce,0.006740613466891165,0.0070824537901385464,0.012083185817283189,0.015543500284507239,0.013706707246257574,0.007329841578087943,71069
2023-04-01,AIUB,0.13904974379200022,0.1648721800876533,0.11274122486221354,0.24336854932161775,0.027175116878957843,0.24184657082853928,67561
2023-04-01,IFG,0.00861179475059251,0.007639179120208322,0.01278060992375381,0.017200699302066604,0.014969567479878815,0.00847207801814107,67561
2023-04-01,TUD,0.007520668501429447,0.007372407441483794,0.012688214347789958,0.01648950058452657,0.013193527179633706,0.00989113088010511,67561
2023-04-01,cmaes,0.006589882325114378,0.0061339659835553915,0.01050224883393867,0.013832907081168303,0.011257183069279666,0.00803897677947632,67561
2023-04-01,inversevariance,0.0074285145792600425,0.006773459551336202,0.011422900411342205,0.015216610560677078,0.013107455758496806,0.00772915522514318,67561
2023-04-01,mean,0.006602832186011543,0.006245478902001741,0.010774704577648897,0.014096015689817725,0.011578575564058757,0.00803954266329677,67561
2023-04-01,neldermead,0.006589811943373317,0.0061339659835553915,0.01050224883393867,0.013832873552028405,0.011257416036174927,0.008038592842959429,67561
2023-04-01,residualweighted,0.004798511469882668,0.004573442209208161,0.00775294681661161,0.010200503434084551,0.0074978806186909745,0.006916072334542847,67561
2023-04-01,residualweightedneldermead,0.006589811943373317,0.0061339659835553915,0.01050224883393867,0.013832873552028405,0.011257416036174927,0.008038592842959429,67561
