datetime,x_pos,y_pos,z_pos,clock_bias,std_x,std_y,std_z,std_code,cov_xy,cov_xz,cov_xt,cov_yz,cov_yt,cov_zt
2021-01-01 00:00:31,-4941764.5603,4553175.148899999,1112869.2152000002,0.002552,0.0037,0.0033,0.0018,0.0,-6.8251592309999995e-06,-1.855394748e-06,0.0,1.5212446919999998e-06,0.0,0.0
2021-01-01 00:00:32,-4942598.0848,4554124.310500001,1105329.1241,-8.7e-05,0.0037,0.0033,0.0018,0.0,-6.792517017e-06,-1.8490317839999999e-06,0.0,1.5139658160000001e-06,0.0,0.0
2021-01-01 00:00:33,-4943425.2577,4555067.8665,1097787.6308,0.002608,0.0037,0.0032,0.0018,0.0,-6.555305984e-06,-1.842971184e-06,0.0,1.4608903679999999e-06,0.0,0.0
2021-01-01 00:00:34,-4944246.0725,4556005.8122,1090244.7463999998,0.000518,0.0037,0.0032,0.0018,0.0,-6.5243952960000005e-06,-1.836757404e-06,0.0,1.453325184e-06,0.0,0.0
2021-01-01 00:00:35,-4945060.5371,4556938.1526,1082700.4836000002,0.001937,0.0037,0.0032,0.0018,0.0,-6.495517536000002e-06,-1.83115701e-06,0.0,1.446031872e-06,0.0,0.0
2021-01-01 00:00:36,-4945868.6469,4557864.8787,1075154.848,0.002786,0.0037,0.0032,0.0018,0.0,-6.487558688000001e-06,-1.8260980740000002e-06,0.0,1.437530688e-06,0.0,0.0
2021-01-01 00:00:37,-4946670.3953,4558785.984,1067607.8514,0.002582,0.0037,0.0032,0.0018,0.0,-6.481508448000001e-06,-1.820941236e-06,0.0,1.42841088e-06,0.0,0.0
2021-01-01 00:00:38,-4947465.788600001,4559701.4688,1060059.4992,0.001289,0.0037,0.0032,0.0018,0.0,-6.476940576000001e-06,-1.8164603880000002e-06,0.0,1.419993792e-06,0.0,0.0
2021-01-01 00:00:39,-4948254.8323,4560611.3402,1052509.8048,0.003059,0.0037,0.0032,0.0018,0.0,-6.473761536000001e-06,-1.812811374e-06,0.0,1.412571456e-06,0.0,0.0
2021-01-01 00:00:40,-4949037.522100001,4561515.592,1044958.7799999999,0.001448,0.0037,0.0032,0.0018,0.0,-6.4726651520000005e-06,-1.808743446e-06,0.0,1.403998848e-06,0.0,0.0
2021-01-01 00:00:41,-4949813.843400001,4562414.2152,1037406.4283,0.003165,0.0037,0.0033,0.0018,0.0,-6.725059209e-06,-1.7202606840000002e-06,0.0,1.2888315e-06,0.0,0.0
2021-01-01 00:00:42,-4950583.8234,4563307.2205,1029852.7627999999,0.000388,0.0037,0.0033,0.0017,0.0,-6.672734475e-06,-1.701855737e-06,0.0,1.351970169e-06,0.0,0.0
2021-01-01 00:00:43,-4951347.443200001,4564194.5974,1022297.7948,9.1e-05,0.0037,0.0033,0.0017,0.0,-6.665442663e-06,-1.69927495e-06,0.0,1.345495668e-06,0.0,0.0
2021-01-01 00:00:44,-4952104.6941,4565076.3353,1014741.5305,0.003454,0.0037,0.0033,0.0017,0.0,-6.652721063999999e-06,-1.69709861e-06,0.0,1.339279227e-06,0.0,0.0
2021-01-01 00:00:45,-4952855.596600001,4565952.4429,1007183.9811999999,0.004276,0.0037,0.0032,0.0017,0.0,-6.433190592000001e-06,-1.6949782509999999e-06,0.0,1.292770848e-06,0.0,0.0
2021-01-01 00:00:46,-4953600.1457,4566822.927999999,999625.1554,0.001578,0.0037,0.0032,0.0017,0.0,-6.4167223360000005e-06,-1.6931113789999998e-06,0.0,1.286911424e-06,0.0,0.0
2021-01-01 00:00:47,-4954338.3404,4567687.773700001,992065.0662,0.003113,0.0037,0.0032,0.0017,0.0,-6.401837088000001e-06,-1.689716666e-06,0.0,1.280437824e-06,0.0,0.0
2021-01-01 00:00:48,-4955070.1722,4568546.9765,984503.7178999999,0.001172,0.0037,0.0032,0.0017,0.0,-6.388528928000001e-06,-1.686452156e-06,0.0,1.2741241599999998e-06,0.0,0.0
2021-01-01 00:00:49,-4955795.648999999,4569400.5405,976941.1222999999,0.002675,0.0037,0.0032,0.0017,0.0,-6.376778912000001e-06,-1.683362508e-06,0.0,1.268040608e-06,0.0,0.0
2021-01-01 00:00:50,-4956514.767200001,4570248.4628,969377.2905,0.000606,0.0037,0.0032,0.0017,0.0,-6.366430752000001e-06,-1.680704983e-06,0.0,1.262268224e-06,0.0,0.0
2021-01-01 00:00:51,-4957227.5269,4571090.7419,961812.228,0.000734,0.0037,0.0032,0.0017,0.0,-6.357115040000001e-06,-1.6791765130000002e-06,0.0,1.256900032e-06,0.0,0.0
2021-01-01 00:00:52,-4957933.9344999995,4571927.381800001,954245.9493999999,0.003441,0.0037,0.0032,0.0017,0.0,-6.349414304000001e-06,-1.677758118e-06,0.0,1.25176576e-06,0.0,0.0
2021-01-01 00:00:53,-4958633.981,4572758.3654,946678.4625,0.003567,0.0037,0.0032,0.0017,0.0,-6.36901424e-06,-1.67967531e-06,0.0,1.250671232e-06,0.0,0.0
2021-01-01 00:00:54,-4959327.669000001,4573583.7003,939109.7751999999,0.000867,0.0037,0.0033,0.0017,0.0,-6.584837127e-06,-1.682091299e-06,0.0,1.289949375e-06,0.0,0.0
2021-01-01 00:00:55,-4960015.001,4574403.3866,931539.8971,0.002627,0.0037,0.0033,0.0017,0.0,-6.5984610450000005e-06,-1.684470806e-06,0.0,1.290482886e-06,0.0,0.0
2021-01-01 00:00:56,-4960695.977299999,4575217.4191000005,923968.8397,-0.000233,0.0037,0.0033,0.0017,0.0,-6.6090703140000005e-06,-1.686776091e-06,0.0,1.2912856769999998e-06,0.0,0.0
2021-01-01 00:00:57,-4961370.5967,4576025.798599999,916396.6133,0.001288,0.0037,0.0033,0.0017,0.0,-6.616434165e-06,-1.689389586e-06,0.0,1.293072462e-06,0.0,0.0
2021-01-01 00:00:58,-4962038.8541,4576828.5172,908823.2246,0.000377,0.0037,0.0033,0.0017,0.0,-6.620683245000001e-06,-1.692131397e-06,0.0,1.295505519e-06,0.0,0.0
2021-01-01 00:00:59,-4962700.758,4577625.5795,901248.6851,0.001093,0.0037,0.0033,0.0017,0.0,-6.624102045e-06,-1.6944926629999998e-06,0.0,1.298994939e-06,0.0,0.0
2021-01-01 00:01:00,-4963356.3023,4578416.9733,893673.003,0.001905,0.0037,0.0033,0.0017,0.0,-6.6295025280000005e-06,-1.695580833e-06,0.0,1.303458816e-06,0.0,0.0
2021-01-01 00:01:01,-4964005.489999999,4579202.7088,886096.1913999999,0.00196,0.0037,0.0033,0.0017,0.0,-6.610120374e-06,-1.695493402e-06,0.0,1.307823396e-06,0.0,0.0
2021-01-01 00:01:02,-4964648.324200001,4579982.7818,878518.257,-3.9e-05,0.0037,0.0033,0.0017,0.0,-6.593677167000002e-06,-1.6956927950000001e-06,0.0,1.312545333e-06,0.0,0.0
2021-01-01 00:01:03,-4965284.7997,4580757.1872,870939.2087999999,0.002197,0.0037,0.0033,0.0017,0.0,-6.581020281e-06,-1.6962161229999999e-06,0.0,1.317696996e-06,0.0,0.0
2021-01-01 00:01:04,-4965914.9221,4581525.9265,863359.0583,0.000593,0.0037,0.0033,0.0017,0.0,-6.572121633e-06,-1.69709861e-06,0.0,1.323308679e-06,0.0,0.0
2021-01-01 00:01:05,-4966538.6715,4582288.9846,855777.8084,0.002793,0.0037,0.0033,0.0017,0.0,-6.566970234e-06,-1.698361642e-06,0.0,1.329322599e-06,0.0,0.0
2021-01-01 00:01:06,-4967156.078,4583046.378400001,848195.4825,0.000723,0.0037,0.0033,0.0017,0.0,-6.565535559e-06,-1.6999706239999998e-06,0.0,1.3358487119999999e-06,0.0,0.0
2021-01-01 00:01:07,-4967767.1206,4583798.0943,840612.0789000001,0.000413,0.0037,0.0033,0.0017,0.0,-6.567762663000001e-06,-1.7019595219999999e-06,0.0,1.3428567239999998e-06,0.0,0.0
2021-01-01 00:01:08,-4968371.8104,4584544.1363,833027.6108,0.001919,0.0037,0.0033,0.0017,0.0,-6.561883548e-06,-1.703615679e-06,0.0,1.350016206e-06,0.0,0.0
2021-01-01 00:01:09,-4968970.1419,4585284.5,825442.0865,0.002057,0.0037,0.0032,0.0017,0.0,-6.314074272000001e-06,-1.702283457e-06,0.0,1.3148322239999999e-06,0.0,0.0
2021-01-01 00:01:10,-4969562.1156,4586019.1879,817855.5195,0.00241,0.0037,0.0032,0.0017,0.0,-6.265247296000001e-06,-1.7011084849999999e-06,0.0,1.3210806080000001e-06,0.0,0.0
2021-01-01 00:01:11,-4970147.7338000005,4586748.1872,810267.9136000001,0.003365,0.0037,0.0032,0.0017,0.0,-6.215188960000001e-06,-1.698453476e-06,0.0,1.326398752e-06,0.0,0.0
2021-01-01 00:01:12,-4970726.993500001,4587471.503699999,802679.2821000001,0.001286,0.0037,0.0031,0.0017,0.0,-5.972379679e-06,-1.692344628e-06,0.0,1.2896427799999999e-06,0.0,0.0
